year,language,num_projects,num_commits,num_users,num_pull_req,num_pending_issues
2018,objective-c,160655,602517,50168,42829,65232
2019,cmake,8686,95201,7477,3732,5787
2010,perl,8090,166565,5048,534,2137
2016,dockerfile,144,1243,165,3,38
2012,rust,668,14587,273,732,2190
2010,haskell,1848,32579,875,47,223
2012,processing,252,3023,397,62,88
2013,typescript,6930,54636,3390,2485,3678
2018,batchfile,12679,94426,7181,4273,5368
2007,visual basic,,1333,31,,
2011,typescript,62,6402,357,7,49
2013,cmake,188,10305,631,519,964
2013,dart,3827,73416,1388,2033,3918
2016,scala,49353,839974,26364,61112,75195
2018,coffeescript,19893,236248,10208,23118,33867
2008,objective-c,381,24062,596,,
2013,vue,5,327,9,12,17
2015,powershell,16776,178907,12706,9496,12321
2019,coldfusion,306,6853,293,534,903
2008,erlang,244,5846,203,,
2019,julia,9604,125648,3119,11999,19855
2007,groovy,,528,26,,
2008,r,19,14390,874,,
2008,swift,,1995,2,,
2008,visual basic,13,1623,51,,
2014,viml,32631,681704,47778,7391,11159
2016,puppet,6729,140604,6503,9470,10860
2019,jupyter notebook,420793,3243949,117380,29436,46865
2019,kotlin,65596,507994,35643,25661,41492
2019,pascal,6934,36777,2547,1103,3347
2019,php,325304,2926832,183574,171642,280406
2012,html,7081,369569,18946,10857,14542
2012,scala,12561,186413,6310,9240,7181
2014,powershell,6654,86456,6067,2412,3589
2015,dockerfile,40,528,60,1,63
2010,swift,18,20668,29,2,2
2012,php,159528,2220233,82170,75535,97983
2012,ruby,233639,2359570,87469,98714,89771
2015,python,758663,12354061,425074,544997,740228
2018,jupyter notebook,536350,3125070,127890,40698,56749
2010,puppet,72,2202,110,1,3
2011,groovy,1948,25746,1012,302,635
2011,pascal,281,32156,577,54,52
2015,scala,53593,862717,28358,52082,66461
2015,visual basic,10746,123462,8226,3536,4954
2008,c,1186,980798,16238,,261
2019,powershell,30710,313527,16150,22433,36798
2007,puppet,,101,9,,
2010,arduino,23,126,22,,
2012,perl,19672,485866,15100,7717,9269
2015,php,566570,8589421,318196,368395,490264
2007,html,,113537,1263,,22
2016,coffeescript,32691,447341,21312,41563,57840
2018,clojure,15672,216878,6873,15291,20456
2007,erlang,,2674,101,,
2010,elixir,4,39,5,,6
2010,typescript,8,4145,173,,
2008,coldfusion,2,1281,31,,
2013,hcl,5,37,11,1,1
2016,r,79540,792196,51828,19272,30251
2013,pascal,1134,55195,1471,405,770
2014,perl,33484,761233,26649,21899,30838
2014,puppet,12414,169593,8851,7126,8914
2009,processing,10,260,30,,
2015,groovy,15189,230074,11142,11219,16347
2017,scala,55658,744813,23058,68261,81284
2018,puppet,3053,76391,3408,7231,7799
2009,emacs lisp,1838,40076,1157,,25
2010,html,792,108441,3727,217,812
2015,erlang,11381,165585,5266,10324,12544
2017,groovy,24236,219732,10875,16413,20401
2011,css,2741,94967,4593,1235,2269
2013,python,375007,5236811,186805,194911,276546
2014,erlang,8980,143137,4788,7100,8984
2008,groovy,36,1004,59,,
2016,makefile,32516,486138,22979,19360,22801
2016,pascal,6244,93039,3537,1603,2833
2017,dockerfile,421,1817,348,3,48
2011,python,62363,1214909,38235,19606,31466
2008,typescript,1,4649,60,,
2011,c,32704,1575030,37750,5387,7394
2013,dockerfile,4,105,7,,
2017,viml,1766,513443,34806,9034,12519
2019,groovy,18042,107421,7434,8851,12775
2018,php,616218,5874581,270482,366499,476812
2009,clojure,606,4229,168,,55
2013,powershell,3242,31452,2435,990,1635
2014,typescript,10293,132956,7043,7423,13313
2018,dockerfile,52465,204203,27211,4304,5087
2008,pascal,4,24205,253,,1
2018,cmake,16145,183228,10830,8217,9911
2007,css,,7373,265,,
2015,coffeescript,51807,677440,30085,40817,61804
2009,php,6105,355516,6769,,1670
